"id_perusahaan","nama_perusahaan","kategori_bidang","spesialisasi_bidang","kota_sumsel","deskripsi_singkat","prediksi_skill_dibutuhkan","sumber_data"
"PSM011","PT Layanan Prabumulih","Layanan Publik","Teknologi Informasi & Komunikasi Pemerintahan","Prabumulih","Beroperasi di Prabumulih, PT Layanan Prabumulih menawarkan keahlian dalam Teknologi Informasi & Komunikasi Pemerintahan di sektor Layanan Publik. Mereka dikenal karena inovasi dan kualitas.","Digital Banking Product Management;Radiologi);Cloud Computing (Dasar);Manajemen Pelayanan Medis & Keperawatan;Analisis Data Perilaku Pengguna Lokal","Data Generasi Otomatis"
"PSM012","CV Regulator Inovasi","Regulator Keuangan","Pengawasan Sektor Jasa Keuangan","Sekayu (Muba)","CV Regulator Inovasi adalah perusahaan yang bergerak di bidang Regulator Keuangan, dengan fokus pada Pengawasan Sektor Jasa Keuangan. Berlokasi di Sekayu (Muba), perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Fisioterapi Olahraga (Dasar);Perencanaan & Pengelolaan DAS;Analisis Pembiayaan Syariah (Murabahah;Sales & Marketing Perhotelan;Cyber Security;Instrumentasi & Kontrol Proses;Analisis Penjualan Ritel;Audit Kepatuhan Syariah;Perlindungan Hutan & Pengendalian Kebakaran;Sistem Transaksi Tol Elektronik","Data Generasi Otomatis"
"PSM013","PT Air Kesehatan","Kesehatan","Layanan Kesehatan Rujukan Nasional","Baturaja (OKU)","Beroperasi di Baturaja (OKU), PT Air Kesehatan menawarkan keahlian dalam Layanan Kesehatan Rujukan Nasional di sektor Kesehatan. Mereka dikenal karena inovasi dan kualitas.","Korporat);Teknik Kimia (Pengolahan);Quality Control Pakan & Produk Ternak;Layanan Penerbangan (Passenger Handling;Manajemen Logistik Maritim;Manajemen Transportasi Darat","Data Generasi Otomatis"
"PSM014","CV Mohammad Dr. Energi Tbk","Energi","Ketenagalistrikan Lokal","Ogan Komering Ilir (OKI)","CV Mohammad Dr. Energi Tbk adalah perusahaan yang bergerak di bidang Energi, dengan fokus pada Ketenagalistrikan Lokal. Berlokasi di Ogan Komering Ilir (OKI), perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Operasi Lapangan Migas;Teknik Elektro (Arus Kuat);Pengembangan Kurikulum;Teknologi Produksi Kertas;Teknik Sipil (Jalan Tol & Jembatan);Bendungan);Pemasaran & Sponsorship Olahraga;Supply Chain Management;Analisis Ekonomi Migas;Manajemen Proyek Jalan Tol","Analisis Internal"
"PSM015","UD Telkomsel Sumbagsel Ritel","Ritel","Distribusi & Ritel Produk Digital & Gaya Hidup","Palembang; Kayu Agung","UD Telkomsel Sumbagsel Ritel menyediakan solusi Ritel dengan spesialisasi Distribusi & Ritel Produk Digital & Gaya Hidup untuk pasar di Palembang dan  Kayu Agung dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Hukum Perbankan;Ground Operations & Customer Handling;Manajemen Klub Olahraga;Musyarakah)","Data Generasi Otomatis"
"PSM016","Firma Nusantara VII Konstruksi (Persero)","Konstruksi","Infrastruktur Jalan Tol","Lubuklinggau;Muara Enim","Beroperasi di Lubuklinggau dan Muara Enim, Firma Nusantara VII Konstruksi (Persero) menawarkan keahlian dalam Infrastruktur Jalan Tol di sektor Konstruksi. Mereka dikenal karena inovasi dan kualitas.","Teknik Kimia Proses Pulp & Kertas;Hukum Perbankan;Akuntansi;Supply Chain Management Energi;Drainase;Underwriting Asuransi Umum;Manajemen Aset Jalan Tol;Jembatan;Pengadaan & Kontrak Konstruksi Tol;Perencanaan & Pengelolaan DAS","Riset Tambahan"
"PSM017","Yayasan Perbankan Lahat Group","Perbankan","Layanan Keuangan & Perbankan Daerah","Lahat","Sebagai pemain di industri Perbankan, Yayasan Perbankan Lahat Group yang berbasis di Lahat mengkhususkan diri dalam Layanan Keuangan & Perbankan Daerah. Dedikasi pada kualitas adalah prioritas utama.","Teknik Mesin;Geologi & Geofisika Eksplorasi;Cloud Computing (AWS/Azure/GCP);Customer Relationship Management (CRM);Python;PLTG","Analisis Internal"
"PSM018","Perum Regulator Palembang","Regulator Keuangan","Pengawasan Sektor Jasa Keuangan","Palembang; lokasi proyek","Perum Regulator Palembang adalah perusahaan yang bergerak di bidang Regulator Keuangan, dengan fokus pada Pengawasan Sektor Jasa Keuangan. Berlokasi di Palembang dan  lokasi proyek, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Underwriting Asuransi Umum;Pengembangan Kurikulum;Operasional Bank Syariah;PLTG;Silvikultur & Pembibitan","Data Generasi Otomatis"
"PSM019","Perum Asuransi Group","Asuransi","Asuransi Kredit & Penjaminan","Indralaya","Sebagai pemain di industri Asuransi, Perum Asuransi Group yang berbasis di Indralaya mengkhususkan diri dalam Asuransi Kredit & Penjaminan. Dedikasi pada kualitas adalah prioritas utama.","Administrasi Akademik & Kemahasiswaan;Manajemen Aset Jalan Tol;Sistem Kontrol Proses (DCS);Analisis & Tata Kelola Data Pemerintah;Sistem Persinyalan Kereta Api;Reasuransi (Dasar);Manajemen Lalu Lintas Tol;Cloud Computing (AWS/Azure/GCP);Gerbong);Guest Relations","Data Generasi Otomatis"
"PSM020","Firma Kesehatan Nusantara Sekayu","Kesehatan","Layanan Kesehatan Rujukan Nasional","Sekayu (Muba)","Beroperasi di Sekayu (Muba), Firma Kesehatan Nusantara Sekayu menawarkan keahlian dalam Layanan Kesehatan Rujukan Nasional di sektor Kesehatan. Mereka dikenal karena inovasi dan kualitas.","Manajemen Lalu Lintas Tol;Front Office Management;SQL;Pemeliharaan Mesin Pembangkit;Sumber Daya Manusia;Rantai Dingin Distribusi Produk Segar/Beku;Nutrisi Ternak Unggas/Ikan","Riset Tambahan"
"PSM021","UD Agribisnis Jaya Palembang","Agribisnis & Kehutanan","Hutan Tanaman Industri (HTI)","Palembang; Indralaya","UD Agribisnis Jaya Palembang menyediakan solusi Agribisnis & Kehutanan dengan spesialisasi Hutan Tanaman Industri (HTI) untuk pasar di Palembang dan  Indralaya dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Teknik Pertambangan;Manajemen Operasional Platform Digital;Analisis Laporan Keuangan Lembaga Jasa Keuangan;Kerja Tim;Pemetaan GIS/Remote Sensing Kehutanan;Manajemen Klub Olahraga;Teknik Prasarana Kereta Api (Rel;Negosiasi;Analisis Kredit (Konsumer","Transkripsi Gambar & Riset"
"PSM022","CV Energi Raya Palembang","Energi","Minyak & Gas Bumi (Hulu & Hilir)","Palembang; Indralaya","Beroperasi di Palembang dan  Indralaya, CV Energi Raya Palembang menawarkan keahlian dalam Minyak & Gas Bumi (Hulu & Hilir) di sektor Energi. Mereka dikenal karena inovasi dan kualitas.","Operasi Pembangkit Listrik (PLTU;Pengembangan Perangkat Lunak;Supply Chain Management;Sales & Marketing Perhotelan;5G);Manajemen Fasilitas Bandara;Layanan Nasabah Prima;Hidrologi & Hidrometri","Transkripsi Gambar & Riset"
"PSM023","CV Teknologi","Teknologi & Telekomunikasi","Layanan Komunikasi Seluler","Lubuklinggau","CV Teknologi menyediakan solusi Teknologi & Telekomunikasi dengan spesialisasi Layanan Komunikasi Seluler untuk pasar di Lubuklinggau dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Distribusi & Logistik Material Konstruksi;Layanan Pengguna Jalan Tol;Machine Learning;Wealth Management;Tembaga);Jembatan;Manajemen Operasional Jalan Tol;Sistem Transaksi Tol Elektronik","Riset Tambahan"
"PSM024","Yayasan Logistik Cipta Ogan Komering Ilir (Persero)","Logistik & Transportasi","Layanan Kepelabuhanan","Ogan Komering Ilir (OKI)","Yayasan Logistik Cipta Ogan Komering Ilir (Persero) adalah perusahaan yang bergerak di bidang Logistik & Transportasi, dengan fokus pada Layanan Kepelabuhanan. Berlokasi di Ogan Komering Ilir (OKI), perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Teknik Kimia (Pengolahan);Pemasaran Produk Digital;Teknik Kimia Proses Pulp & Kertas;Layanan Penumpang Kereta;Teknik Elektro;Perbankan Digital;Fasilitas Produksi Migas","Riset Tambahan"
"PSM025","UD (APP Olahraga Palembang Tbk","Olahraga & Hiburan","Klub Sepak Bola Profesional","Palembang; Indralaya","UD (APP Olahraga Palembang Tbk adalah perusahaan yang bergerak di bidang Olahraga & Hiburan, dengan fokus pada Klub Sepak Bola Profesional. Berlokasi di Palembang dan  Indralaya, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","PLTA);Pemasaran Produk Keuangan Syariah;Teknologi Produksi Pulp;Manajemen Penelitian & Publikasi Ilmiah;Sistem Informasi Pelabuhan","Transkripsi Gambar & Riset"
"PSM026","PT Agribisnis","Agribisnis","Industri Pakan Ternak & Peternakan Terpadu","Baturaja (OKU);Prabumulih","PT Agribisnis adalah perusahaan yang bergerak di bidang Agribisnis, dengan fokus pada Industri Pakan Ternak & Peternakan Terpadu. Berlokasi di Baturaja (OKU) dan Prabumulih, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","GIS untuk Perkebunan;Sistem Transaksi Tol Elektronik;K3 Lingkungan Pembangkitan;PLTG;Manajemen Klaim Asuransi;Pengembangan & Pengelolaan Aplikasi Pemerintahan (e-Government);Food & Beverage Service/Production","Transkripsi Gambar & Riset"
"PSM027","Perum Utilitas Teknika","Utilitas","Ketenagalistrikan (Pembangkitan)","Sekayu (Muba)","Sebagai pemain di industri Utilitas, Perum Utilitas Teknika yang berbasis di Sekayu (Muba) mengkhususkan diri dalam Ketenagalistrikan (Pembangkitan). Dedikasi pada kualitas adalah prioritas utama.","Manajemen Produksi Pakan Ternak;Teknik Pertambangan;Microsoft Office Suite;Pengembangan Kurikulum;Sistem Informasi Akademik","Analisis Internal"
"PSM028","UD Media Kayu Agung Group","Media & Penyiaran","Penyiaran Radio Publik","Kayu Agung","Sebagai pemain di industri Media & Penyiaran, UD Media Kayu Agung Group yang berbasis di Kayu Agung mengkhususkan diri dalam Penyiaran Radio Publik. Dedikasi pada kualitas adalah prioritas utama.","Wealth Management;Teknik Sipil Sumber Daya Air (Irigasi;Komersial);Jaringan Akses (Fiber Optik","Transkripsi Gambar & Riset"
"PSM029","Perum Utilitas","Utilitas","Ketenagalistrikan (Pembangkitan)","Lubuklinggau","Perum Utilitas adalah perusahaan yang bergerak di bidang Utilitas, dengan fokus pada Ketenagalistrikan (Pembangkitan). Berlokasi di Lubuklinggau, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Sales & Ticketing Maskapai;Sistem Kontrol Pembangkit (PLC/DCS);Microsoft Office Suite;Logistik;GIS untuk Sumber Daya Air;Teknik Sipil (Struktur;Teknik Kimia (Proses Semen);Agronomi Tanaman Karet/Sawit/Teh","Data Generasi Otomatis"
"PSM030","Perum Comfeed Japfa Material","Material Konstruksi","Semen","Palembang","Sebagai pemain di industri Material Konstruksi, Perum Comfeed Japfa Material yang berbasis di Palembang mengkhususkan diri dalam Semen. Dedikasi pada kualitas adalah prioritas utama.","Layanan Nasabah Prima;Hidrologi & Hidrometri;Penunjang Medis (Laboratorium;Mudharabah;Keuangan;GIS untuk Sumber Daya Air;Manajemen Transportasi Darat","Riset Tambahan"
"PSM031","Perum Pendidikan Agung Palembang","Pendidikan","Pendidikan Tinggi & Penelitian","Palembang; Kayu Agung","Sebagai pemain di industri Pendidikan, Perum Pendidikan Agung Palembang yang berbasis di Palembang dan  Kayu Agung mengkhususkan diri dalam Pendidikan Tinggi & Penelitian. Dedikasi pada kualitas adalah prioritas utama.","Logistik;Proses Produksi Pupuk;Farmasi Klinis & Manajemen Obat;Perpustakaan Digital & Literasi Informasi;Ground Operations & Customer Handling;Teknik Sarana Kereta Api (Lokomotif;Penunjang Medis (Laboratorium","Transkripsi Gambar & Riset"
"PSM032","Yayasan Teknologi Cipta","Teknologi & Telekomunikasi","Layanan Komunikasi Seluler","Palembang; Indralaya","Sebagai pemain di industri Teknologi & Telekomunikasi, Yayasan Teknologi Cipta yang berbasis di Palembang dan  Indralaya mengkhususkan diri dalam Layanan Komunikasi Seluler. Dedikasi pada kualitas adalah prioritas utama.","Sistem Kontrol Pembangkit (PLC/DCS);Manajemen Siaran Radio;Komunikasi;Operasi Lapangan Migas;SAP;Manajemen Logistik Maritim;Food & Beverage Service/Production;Jurnalisme Radio & Produksi Program","Data Generasi Otomatis"
"PSM033","Perum Transportasi","Transportasi","Transportasi Darat (Perkeretaapian)","Palembang","Perum Transportasi adalah perusahaan yang bergerak di bidang Transportasi, dengan fokus pada Transportasi Darat (Perkeretaapian). Berlokasi di Palembang, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Layanan Pelanggan Platform;Media & Komunikasi Olahraga;Manajemen Proyek Jalan Tol;Teknologi Produksi Pulp;Administrasi Rumah Sakit;Analisis Data Perilaku Pengguna Lokal;Pemasaran Digital Lokal;Cloud Computing (AWS/Azure/GCP);Pemasaran & Sponsorship Olahraga;Ground Handling)","Analisis Internal"
"PSM034","Firma Transportasi","Transportasi","Transportasi Udara (Pengelola Bandara)","Palembang; Kayu Agung","Doloribus optio provident. Dolor accusamus odio voluptatem.","Jembatan;Kerja Tim;Teknik Elektro;Layanan Penerbangan (Passenger Handling;Teknik Kimia (Pengolahan)","Analisis Internal"
"PSM035","Firma Olahraga Raya Baturaja","Olahraga & Hiburan","Klub Sepak Bola Profesional","Baturaja (OKU);Lubuklinggau","Firma Olahraga Raya Baturaja adalah perusahaan yang bergerak di bidang Olahraga & Hiburan, dengan fokus pada Klub Sepak Bola Profesional. Berlokasi di Baturaja (OKU) dan Lubuklinggau, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Operasional Bank Syariah;HSE Perkebunan;Cloud Computing (AWS/Azure/GCP);Digitalisasi Konten Radio & Podcast;Negosiasi;PLTG","Analisis Internal"
"PSM036","Perum Perhotelan Sentosa Group","Perhotelan & Pariwisata","Akomodasi & Layanan Perhotelan","Sekayu (Muba);Indralaya","Perum Perhotelan Sentosa Group adalah perusahaan yang bergerak di bidang Perhotelan & Pariwisata, dengan fokus pada Akomodasi & Layanan Perhotelan. Berlokasi di Sekayu (Muba) dan Indralaya, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Keuangan;Manajemen Klub Olahraga;Musyarakah);Visual Merchandising;Radiologi);Perencanaan Tambang Jangka Panjang/Pendek;Quality Control Pakan & Produk Ternak;Layanan Pelanggan Platform;Manajemen Event Pertandingan;Akuntansi","Analisis Internal"
"PSM037","UD Asuransi Mulia Lubuklinggau","Asuransi","Asuransi Kredit & Penjaminan","Lubuklinggau","UD Asuransi Mulia Lubuklinggau menyediakan solusi Asuransi dengan spesialisasi Asuransi Kredit & Penjaminan untuk pasar di Lubuklinggau dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Penunjang Medis (Laboratorium;Pengadaan & Kontrak Konstruksi Tol;Logistik;Teknik Penyiaran Radio (Audio Engineering);Sumber Daya Manusia;Pemeliharaan Infrastruktur Jalan Tol","Transkripsi Gambar & Riset"
"PSM038","CV Transportasi Group","Transportasi","Transportasi Darat (Perkeretaapian)","Sekayu (Muba)","Beroperasi di Sekayu (Muba), CV Transportasi Group menawarkan keahlian dalam Transportasi Darat (Perkeretaapian) di sektor Transportasi. Mereka dikenal karena inovasi dan kualitas.","Perencanaan & Pengelolaan DAS;Reasuransi (Dasar);Sales & Marketing Pakan/DOC;Hukum Bisnis & Jaminan;Analisis Risiko Asuransi;Teknik Prasarana Kereta Api (Rel;Pengabdian Masyarakat","Analisis Internal"
"PSM039","Perum Logistik","Logistik & Transportasi","Layanan Kepelabuhanan","Muara Enim","Beroperasi di Muara Enim, Perum Logistik menawarkan keahlian dalam Layanan Kepelabuhanan di sektor Logistik & Transportasi. Mereka dikenal karena inovasi dan kualitas.","Underwriting Asuransi Umum;Sales & Ticketing Maskapai;R&D Produk Semen;GIS untuk Sumber Daya Air;Pemetaan GIS/Remote Sensing Kehutanan;Sistem Informasi Akademik;Cyber Security;Layanan Penerbangan (Passenger Handling;Cloud Computing (Dasar)","Riset Tambahan"
"PSM040","CV Media Holding","Media & Penyiaran","Penyiaran Radio Publik","Palembang; Kayu Agung","Beroperasi di Palembang dan  Kayu Agung, CV Media Holding menawarkan keahlian dalam Penyiaran Radio Publik di sektor Media & Penyiaran. Mereka dikenal karena inovasi dan kualitas.","Teknik Elektro (Arus Kuat);Manajemen Operasional Pembangkit Listrik Lokal (Diesel/Gas);Literasi & Edukasi Keuangan;Drainase","Data Generasi Otomatis"
"PSM041","PT Utilitas Abadi Palembang (Persero)","Utilitas","Ketenagalistrikan (Pembangkitan)","Palembang; Indralaya","Asperiores distinctio inventore quos nam. Mollitia non tenetur nesciunt distinctio eum explicabo dolor.","Regulasi Sektor Jasa Keuangan;Manajemen Produksi Pakan Ternak;Manajemen Proyek Konstruksi;Perlindungan Konsumen Keuangan;Analisis Laporan Keuangan Lembaga Jasa Keuangan;Digitalisasi Konten Radio & Podcast;Pengolahan Limbah Industri Pulp & Kertas;Sistem Transaksi Tol Elektronik","Data Generasi Otomatis"
"PSM042","UD Ritel","Ritel","Distribusi & Ritel Produk Digital & Gaya Hidup","Prabumulih","UD Ritel menyediakan solusi Ritel dengan spesialisasi Distribusi & Ritel Produk Digital & Gaya Hidup untuk pasar di Prabumulih dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Teknik Distribusi Tenaga Listrik Skala Kecil;Manajemen Rantai Pasok Pelabuhan;Audit Kepatuhan Syariah;Pemasaran Produk Penjaminan;Housekeeping Management;Manajemen Operasional Bandara;Gerbong);Pemasaran Produk Gadget & Elektronik;Teknik Elektro;Teknik Sipil (Jalan Tol & Jembatan)","Analisis Internal"
"PSM043","CV Manufaktur Teknika Holding","Manufaktur","Industri Pulp & Kertas","Palembang; Kayu Agung","Nesciunt natus minus eos dicta reiciendis.","Ground Operations & Customer Handling;Manajemen Keuangan BUMD Energi;Akuisisi & Manajemen Merchant/Driver;Perbankan Digital;Manajemen Proyek Pengeboran;Teknik Kimia Proses Pulp & Kertas","Data Generasi Otomatis"
"PSM044","CV Regulator Corp","Regulator Keuangan","Pengawasan Sektor Jasa Keuangan","Lahat","CV Regulator Corp menyediakan solusi Regulator Keuangan dengan spesialisasi Pengawasan Sektor Jasa Keuangan untuk pasar di Lahat dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Logistik Industri;Pemeliharaan Infrastruktur Jalan Tol;SQL;Operasional Perbankan Modern;Radiologi);Perbankan Digital;Pengembangan Komunitas Pengguna/Mitra;Teknik Sipil (Jalan Tol & Jembatan);Cyber Security","Transkripsi Gambar & Riset"
"PSM045","UD Agribisnis","Agribisnis","Industri Pakan Ternak & Peternakan Terpadu","Lubuklinggau","UD Agribisnis menyediakan solusi Agribisnis dengan spesialisasi Industri Pakan Ternak & Peternakan Terpadu untuk pasar di Lubuklinggau dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Digitalisasi Konten Radio & Podcast;Hukum Perbankan;Manajemen Hutan Tanaman Industri (Acacia;Manajemen Operasional Jalan Tol;Mekanisasi Pertanian;Manajemen Lalu Lintas Tol;Operasional Bank Syariah;Sistem Kontrol Proses (DCS);Korporat)","Analisis Internal"
"PSM046","Perum Pertambangan Lubuklinggau Group","Pertambangan","Batubara","Lubuklinggau","Sebagai pemain di industri Pertambangan, Perum Pertambangan Lubuklinggau Group yang berbasis di Lubuklinggau mengkhususkan diri dalam Batubara. Dedikasi pada kualitas adalah prioritas utama.","Teknik Sipil (Struktur;Analisis Pembiayaan Syariah (Murabahah;Manajemen Pelayanan Medis & Keperawatan;Guest Relations;Teknik Mesin;Front Office Management","Analisis Internal"
"PSM047","Perum Kesehatan Corp","Kesehatan","Layanan Kesehatan Rujukan Nasional","Ogan Komering Ilir (OKI)","Veritatis repellat sit repellat cumque cupiditate incidunt. Minima earum quo sapiente.","Teknik Perminyakan (Produksi/Reservoir);Manajemen Transportasi Darat;Rantai Dingin Distribusi Produk Segar/Beku;Perlindungan Konsumen Keuangan;Teknik Sarana Kereta Api (Lokomotif;HSE Perkebunan;Digital Banking Product Management;Manajemen Aset Jalan Tol;Audit Kepatuhan Syariah;Manajemen Kanal Penjualan (Direct/Indirect)","Data Generasi Otomatis"
"PSM048","Firma Ritel","Ritel","Distribusi & Ritel Produk Digital & Gaya Hidup","Palembang; lokasi proyek","Veritatis facilis adipisci natus omnis ullam.","Supply Chain Management Energi;Perencanaan Tambang Jangka Panjang/Pendek;Sales & Ticketing Maskapai;Pemeliharaan Mesin Pembangkit;Analisis & Tata Kelola Data Pemerintah;Sistem Informasi Pelabuhan","Riset Tambahan"
"PSM049","Perum Konstruksi","Konstruksi","Infrastruktur Jalan Tol","Baturaja (OKU);Sekayu (Muba)","Perum Konstruksi adalah perusahaan yang bergerak di bidang Konstruksi, dengan fokus pada Infrastruktur Jalan Tol. Berlokasi di Baturaja (OKU) dan Sekayu (Muba), perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Pemeliharaan Mesin Pembangkit;Pengolahan Hasil Perkebunan (Primer);Geologi & Geofisika Eksplorasi;Sales & Ticketing Maskapai;Teknik Perminyakan (Produksi/Reservoir);Sistem Transaksi Tol Elektronik;Logistik Industri;SAP PP/MM;Jurnalisme Radio & Produksi Program;Layanan Pelanggan Korporat & Ritel","Transkripsi Gambar & Riset"
"PSM050","PT Agribisnis Prabumulih","Agribisnis","Perkebunan Komoditas Ekspor","Prabumulih","Numquam illum perspiciatis quam vitae debitis ex. Ut beatae perspiciatis consequatur ducimus saepe laudantium.","Manajemen Event Pertandingan;Sertifikasi Kehutanan Lestari (FSC/PEFC);Teknik Distribusi Tenaga Listrik Skala Kecil;Bahasa Inggris;Underwriting Asuransi Umum","Data Generasi Otomatis"
